Altium Designer Pick and Place Locations
C:\Users\adria\Documents\GitHub\AltiumGithub\Karman Delta Arm\Rev B\Assembly Outputs\Pick and Place (Variants)\KDA Rev B1 Pick and Place (Variants).csv

========================================================================================================================
File Design Information:

Date:       20/01/26
Time:       21:32
Revision:   cd1a242e3e44dabadcdf2d1974b408705ec981cb
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q1C","Power Switch","TopLayer","MLPAK33_SOT8002-1_NEX-M","3.0000","18.2250","270","Power MOSFET, P Channel, 30 V, 15.2 A, 0.0111 ohm, MLPAK33, Surface Mount"
"Q1B","Power Switch","TopLayer","MLPAK33_SOT8002-1_NEX-M","-15.2500","-14.2250","90","Power MOSFET, P Channel, 30 V, 15.2 A, 0.0111 ohm, MLPAK33, Surface Mount"
"J10","9V Battery","TopLayer","B03B-PASK-1","-57.7500","30.5500","0","Connector 3 Way Vertical 2mm Pitch"
"Z6","*","TopLayer","Breakout_-_3_hole_-_short_route","-53.5000","6.2000","0","Breakout - 3 hole - short route"
"Z5","*","TopLayer","Breakout_-_3_hole_-_short_route","-41.2000","20.0000","90","Breakout - 3 hole - short route"
"Z4","*","TopLayer","Breakout_-_3_hole_-_short_route","-51.0000","31.8000","180","Breakout - 3 hole - short route"
"U5","CAN Transceiver","TopLayer","FP-DWV0008A-IPC_C","-52.8000","15.7000","0","IC TRANSCEIVER FULL 1/1 8SOIC"
"U4","5V Regulator","TopLayer","SOT230P700X170-4M","-46.2000","27.5000","0","IC Regulator LDO MIC5239-5.0YS SOT-223"
"TP22","GND","BottomLayer","S1751-46R","-44.0000","8.0000","180","PCB Test Point S1751 Series, Surface Mount"
"TP21","GND","BottomLayer","S1751-46R","-62.0000","8.0000","0","PCB Test Point S1751 Series, Surface Mount"
"R17","Line Termination","BottomLayer","RESC1608X06L","-46.4000","16.7000","0","SMD Chip Resistor, Thick Film, 62 ohm, 75V, 0603 [1608 Metric], 100mW, ± 1%, RC Series"
"R16","*","BottomLayer","RESC1608X06L","-46.4000","14.7000","0","SMD Chip Resistor, Thick Film, 62 ohm, 75V, 0603 [1608 Metric], 100mW, ± 1%, RC Series"
"R15","RESISTOR","BottomLayer","RESC1608X06L","-59.4000","18.9000","90","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"J9","Serial","TopLayer","B04B-PASK-1","-63.2500","16.3500","90","Connector 4 Way Vertical JST B04B-PASK-1 (LF) (SN) 2mm Pitch"
"J6","CAN To Main PCB","TopLayer","B06B-PASK-1","-45.0500","16.4500","90","Connector 6 Way Vertical B06B-PASK-1 (LF) (SN) 2mm Pitch"
"C19","*","BottomLayer","CAPC1608X08L","-47.1000","12.3000","270","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C18","*","TopLayer","CAPC1608X08L","-58.1000","19.6000","90","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C17","*","TopLayer","CAPC2012X15M","-49.5000","21.7750","270","Capacitor MLC 10uF10V X7R 10% CAPC2012X15M"
"C16","*","TopLayer","CAPC1608X08L","-47.6000","19.4000","90","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C15","*","TopLayer","CAPC1608X08L","-51.4000","28.7000","270","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"R14","*","TopLayer","RESC1608X06L","20.7000","4.6000","270","SMD Chip Resistor, Thick Film, 62 ohm, 75V, 0603 [1608 Metric], 100mW, ± 1%, RC Series"
"R13","Line Termination","TopLayer","RESC1608X06L","19.4000","4.6000","270","SMD Chip Resistor, Thick Film, 62 ohm, 75V, 0603 [1608 Metric], 100mW, ± 1%, RC Series"
"C14","*","TopLayer","CAPC1608X08L","18.0000","4.6000","270","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"U3B","CAN Transceiver","BottomLayer","FP-DWV0008A-IPC_C","20.0000","7.0000","270","IC TRANSCEIVER FULL 1/1 8SOIC"
"U3A","CAN Transceiver","TopLayer","FP-DWV0008A-IPC_C","20.0350","-8.6005","90","IC TRANSCEIVER FULL 1/1 8SOIC"
"Z2","*","TopLayer","Breakout_-_3_hole_-_short_route","-53.5000","3.8000","180","Breakout - 3 hole - short route"
"Z1","*","TopLayer","Breakout_-_3_hole_-_short_route","-42.2000","-14.6000","90","Breakout - 3 hole - short route"
"J4B","Ancillaries","TopLayer","FH12-10S-0_5SH","-48.6250","-9.1000","90","Connector 10W FFC/FPC 0.5mm SM ZIF"
"J4A","Ancillaries","TopLayer","FH12-10S-0_5SH","-48.7250","-25.2000","90","Connector 10W FFC/FPC 0.5mm SM ZIF"
"J5B","Ancillaries","TopLayer","FH12-10S-0_5SH","-19.5750","7.9500","270","Connector 10W FFC/FPC 0.5mm SM ZIF"
"J5A","Ancillaries","TopLayer","FH12-10S-0_5SH","-19.5750","-7.9500","270","Connector 10W FFC/FPC 0.5mm SM ZIF"
"R12D","*","TopLayer","RESC1608X06L","-15.7500","11.2100","180","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R11D","*","TopLayer","RESC1608X06L","-15.7500","3.9600","0","SMD Chip Resistor, Thin Film, 30 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R12C","*","TopLayer","RESC1608X06L","-3.7500","15.7500","180","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R11C","*","TopLayer","RESC1608X06L","-3.7500","8.5000","0","SMD Chip Resistor, Thin Film, 30 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R10B","RESISTOR","BottomLayer","RESC1608X06L","18.7000","13.9000","180","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R11B","*","TopLayer","RESC1608X06L","-8.5000","-4.5500","180","SMD Chip Resistor, Thin Film, 30 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R12B","*","TopLayer","RESC1608X06L","-8.5000","-11.8000","0","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R10A","RESISTOR","TopLayer","RESC1608X06L","18.8000","-15.3000","180","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R11A","*","TopLayer","RESC1608X06L","4.7250","-8.4974","180","SMD Chip Resistor, Thin Film, 30 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"R12A","*","TopLayer","RESC1608X06L","4.7250","-15.7474","0","SMD Chip Resistor, Thin Film, 10 kohm, 75 V, 0603 [1608 Metric], 100 mW, ± 0.1%, ERA3A Series"
"C13D","*","TopLayer","CAPC1608X08L","-15.7500","12.4600","0","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C13C","*","TopLayer","CAPC1608X08L","-3.7500","17.0000","0","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C13B","*","TopLayer","CAPC1608X08L","-8.5000","-13.0500","180","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"C13A","*","TopLayer","CAPC1608X08L","4.7250","-16.9974","180","Capacitor MLC 100nF 50V X7R 10% CAPC1608X08M"
"SB6B","Primary = Open, Secondary = Closed","TopLayer","0603SOLDERLINKOPEN","19.1000","12.9000","180","Solder Blob - Open 0603 SM pads"
"SB6A","Primary = Open, Secondary = Closed","BottomLayer","0603SOLDERLINKOPEN","18.3000","-11.1000","180","Solder Blob - Open 0603 SM pads"
"R7B","RESISTOR","TopLayer","RESC1608X06M","-5.5000","19.4000","90","Resistor 240R 1% 50V RESC1608X06M"
